transect_id,sample,sampling_date,season,CSI_transect,NCDOT_transect,origin,MOM_log_mean,MOM_log_sort,MOM_log_skew,MOM_log_kurt,FW_phi_mean,FW_phi_sort,FW_phi_skew,FW_phi_kurt,description,%vc_gravel,%c_gravel,%m_gravel,%f_gravel,%vf_gravel,%vc_sand,%c_sand,%m_sand,%f_sand,%vf_sand,
apr2012_T11N,S4,2012-04-17,spring,T11,NT71,NCDOT,1.48,0.36,-0.25,8.25,1.48,0.43,-0.01,1.01,Medium Sand,0.0,0.0,0.0,0.0,0.0,0.0020080320000000000,0.097389558,0.833333333,0.065768557,0.00150052,
apr2012_T13N,S1,2012-04-17,spring,T13,NT72,NCDOT,-0.67,0.71,0.01,2.59,-0.97,0.71,0.2,0.43,Very Coarse Sand,0.0,0.0,0.0,0.167120566,0.24269907300000000,0.46492986,0.11823647300000000,0.006012024,0.001002004,0.0,
apr2012_T13N,S2,2012-04-17,spring,T13,NT72,NCDOT,0.15,0.77,-0.01,3.02,0.13,0.79,-0.03,1.02,Coarse Sand,0.0,0.0,0.0,0.012946652,0.039525599,0.335015136,0.500504541,0.106962664,0.005045409,0.0,
apr2012_T13N,S3,2012-04-17,spring,T13,NT72,NCDOT,1.2,0.46,-0.79,3.82,1.21,0.51,-0.02,0.78,Medium Sand,0.0,0.0,0.0,0.0,0.0,0.011011011000000000,0.36236236200000000,0.610610611,0.016016016,0.0,
apr2012_T13N,S4,2012-04-17,spring,T13,NT72,NCDOT,1.39,0.75,-0.53,5.24,1.37,0.73,-0.04,1.33,Medium Sand,0.0,0.0,0.0,0.0067328430000000000,0.00651894,0.027522936,0.212028542,0.599388379,0.11987819700000000,0.027930162,
apr2012_T15N,S1,2012-04-17,spring,T15,NT73,NCDOT,-0.52,0.74,-0.11,2.52,-0.74,0.82,-0.01,0.62,Very Coarse Sand,0.0,0.0,0.0,0.12773447700000000,0.197240448,0.437311936,0.229689067,0.007021063,0.001003009,0.0,
apr2012_T15N,S2,2012-04-17,spring,T15,NT73,NCDOT,0.34,0.74,-0.52,3.26,0.31,0.74,-0.18,1.21,Coarse Sand,0.0,0.0,0.0,0.00927157,0.032939485,0.21909547700000000,0.611055276,0.126633166,0.001005025,0.0,
apr2012_T15N,S3,2012-04-17,spring,T15,NT73,NCDOT,1.27,0.42,-0.51,4.92,1.27,0.47,-0.05,0.76,Medium Sand,0.0,0.0,0.0,0.0,0.0,0.004008016,0.304609218,0.6793587170000000,0.009029023,0.002995025,
apr2012_T15N,S4,2012-04-17,spring,T15,NT73,NCDOT,1.44,0.52,-0.15,4.92,1.43,0.56,0.0,1.12,Medium Sand,0.0,0.0,0.0,0.0,0.0,0.007042254,0.183098592,0.693158954,0.109182507,0.007517694,
apr2012_T16N,S1,2012-04-17,spring,T16,NT74,NCDOT,-0.74,0.68,0.0,2.53,-0.89,0.83,-0.2,0.87,Very Coarse Sand,0.0,0.0,0.0,0.115028681,0.25871881400000000,0.508016032,0.11422845700000000,0.003006012,0.001002004,0.0,
